_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66c6068fcbf6e3c60fec3627,,113.18,96.96,115.98,71.37,283;2;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1724253839000
663bc1bc866cd8bb7967402e,,64.4,94.25,64.4,62.4,161;0;0;0,time,30,-1,0,30,0,0,true,false,english_5k,,normal,false,false,false,,1715192252000
663bc199866cd8bb79673e17,,58.8,89.76,58.8,50.12,147;0;0;0,time,30,-1,1,30,0,1.31,true,false,english_5k,,normal,false,false,false,,1715192217000
663bc178866cd8bb79673c0b,,58.37,92.5,58.37,56.38,146;0;0;0,time,30,-1,0,30.02,0,0,true,false,english_5k,,normal,false,false,false,,1715192184000
663bc157866cd8bb79673a19,,53.2,90.2,55.6,58.48,133;1;0;0,time,30,-1,0,30,0,0,true,false,english_5k,,normal,false,false,false,,1715192151000
663bc137866cd8bb7967381a,,70.37,91.67,70.37,60.78,176;0;0;0,time,30,-1,11,30.01,0,27.28,true,false,english_5k,,normal,false,false,false,,1715192119000
663bc0e5866cd8bb7967330b,,105.6,94.08,111.2,70.6,264;5;0;1,time,30,-1,9,30,0,19.18,false,false,english,,normal,false,false,false,,1715192037000
663bc08d866cd8bb79672d3d,,99.59,93.82,105.59,72.97,249;3;1;0,time,30,-1,10,30,0,43.04,false,false,english,,normal,false,false,false,,1715191949000
663bc009866cd8bb796724e9,,25.6,100,25.6,0.28,64;0;0;0,time,30,-1,3,30,15,12.1,false,false,english,,normal,false,false,false,,1715191817000
663bbfbe866cd8bb79672014,,115.58,98.32,117.58,81.68,289;2;0;0,time,30,-1,2,30,0,4.24,false,false,english,,normal,false,false,false,,1715191742000
663bbf99866cd8bb79671dc2,,90.39,92.86,90.39,59.41,226;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1715191705000
663bbf0c866cd8bb79671523,,101.59,96.58,101.59,65.2,254;0;0;0,time,30,-1,2,30,0,2.81,false,false,english,,normal,false,false,false,,1715191564000
65d0c6112c98ce4374c05fbf,,106.39,98.89,106.39,77.23,266;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1708181009000
65d0c5f12c98ce4374c05e82,,114.78,96.68,119.98,84.46,287;7;0;1,time,30,-1,4,30,0,11.94,false,false,english,,normal,false,false,false,,1708180977000
65d0c5062c98ce4374c05535,,117.99,100,117.99,82.77,295;0;0;0,time,30,-1,6,30,0,11.92,false,false,english,,normal,false,false,false,,1708180742000
65d0c4d72c98ce4374c0534f,,103.58,93.77,113.58,83.37,259;8;1;0,time,30,-1,6,30,0,9.04,false,false,english,,normal,false,false,false,,1708180695000
