user_id,datetime,time_of_day,wpm,rawWpm,acc,consistency,restartCount,testDuration,afkDuration,incompleteTestSeconds,correct_characters,incorrect_characters,extra_characters,missed_characters
1,2025-08-14 06:22:23.020,morning,80.8,83.2,97.16,75.24,0,30.0,0,0.0,202,1,0,1
1,2025-08-14 05:58:05.000,morning,89.99,91.59,98.26,78.88,0,30.0,0,0.0,225,2,0,0
1,2025-08-14 05:56:35.000,morning,75.6,82.79,96.63,75.6,1,30.0,0,4.45,189,3,0,1
1,2025-08-14 05:54:46.000,morning,89.99,89.99,98.68,75.83,1,30.0,0,7.3,225,0,0,0
1,2025-08-13 17:40:48.000,evening,74.0,76.4,96.45,74.92,1,30.0,0,17.58,185,1,0,0
1,2025-08-13 17:39:42.000,evening,75.19,75.19,98.43,69.52,0,30.01,0,0.0,188,0,0,0
1,2025-08-13 17:39:08.000,evening,74.4,76.4,96.43,77.39,0,30.0,0,0.0,186,1,0,0
1,2025-08-13 17:38:34.000,evening,74.0,78.8,95.54,70.82,0,30.0,0,0.0,185,3,1,0
1,2025-08-13 17:37:25.000,evening,72.4,74.0,97.34,73.0,0,30.0,0,0.0,181,1,0,0
1,2025-08-13 17:36:51.000,evening,70.39,76.39,93.03,67.96,0,30.0,0,0.0,176,3,1,0
1,2025-08-13 17:34:03.000,evening,80.79,80.79,98.06,78.49,1,30.0,0,10.75,202,0,0,0
1,2025-08-13 16:49:41.000,afternoon,75.2,76.8,96.92,71.98,0,30.0,0,0.0,188,1,1,0
1,2025-08-13 16:49:06.000,afternoon,68.4,70.8,95.6,65.71,0,30.0,0,0.0,171,2,0,0
1,2025-08-13 16:48:32.000,afternoon,69.6,74.8,96.88,67.08,0,30.0,0,0.0,174,0,0,3
1,2025-08-13 16:39:15.000,afternoon,88.39,90.39,98.67,82.95,0,30.0,0,0.0,221,2,0,0
1,2025-08-13 15:51:27.000,afternoon,77.58,79.58,98.01,81.06,0,30.01,0,0.0,194,1,0,0
1,2025-08-13 15:43:33.000,afternoon,81.19,83.19,98.1,78.81,0,30.0,0,0.0,203,1,0,0
1,2025-08-13 15:42:12.000,afternoon,83.6,83.6,99.06,77.2,0,30.0,0,0.0,209,0,0,0
1,2025-08-13 14:40:44.000,afternoon,80.36,82.36,98.07,70.93,2,30.01,0,26.11,201,2,0,0
1,2025-08-13 12:05:37.000,afternoon,80.79,80.79,96.65,69.78,0,30.0,0,0.0,202,0,0,0
1,2025-08-13 06:43:00.000,morning,82.79,87.19,96.82,77.64,2,30.0,0,21.35,207,3,1,0
1,2025-08-13 06:37:23.000,morning,78.79,78.79,98.99,73.46,0,30.0,0,0.0,197,0,0,0
1,2025-08-13 06:32:44.000,morning,66.79,76.39,90.67,68.74,1,30.0,0,2.82,167,7,5,0
1,2025-08-12 16:25:12.000,afternoon,79.57,79.57,99.5,77.31,2,30.01,0,45.87,199,0,0,0
1,2025-08-12 16:23:42.000,afternoon,75.59,77.19,97.45,74.47,2,30.0,0,24.96,189,1,0,0
1,2025-08-12 16:22:27.000,afternoon,76.39,76.39,95.98,69.73,0,30.0,0,0.0,191,0,0,0
1,2025-08-12 16:13:34.000,afternoon,69.99,72.79,95.19,73.26,0,30.01,0,0.0,175,2,1,0
1,2025-08-12 16:13:01.000,afternoon,70.38,73.57,96.28,60.09,0,30.01,2,0.0,176,2,0,0
1,2025-08-12 16:06:51.000,afternoon,78.39,78.39,99.49,71.73,0,30.0,0,0.0,196,0,0,0
1,2025-08-12 16:04:27.000,afternoon,66.8,73.2,92.55,71.18,0,30.0,0,0.0,167,5,2,0
1,2025-08-12 16:03:54.000,afternoon,63.2,68.0,94.32,72.97,1,30.0,0,13.34,158,1,0,2
1,2025-08-12 15:52:01.000,afternoon,71.59,77.19,96.43,72.41,0,30.0,0,0.0,179,3,0,1
1,2025-08-12 15:51:26.000,afternoon,77.97,77.97,98.98,75.86,1,30.01,0,11.58,195,0,0,0
1,2025-08-12 15:50:13.000,afternoon,59.98,67.17,91.86,73.38,1,30.01,0,25.76,150,5,2,0
1,2025-08-12 15:45:21.000,afternoon,85.99,85.99,100.0,86.01,0,30.0,0,0.0,215,0,0,0
1,2025-08-12 12:43:02.000,afternoon,77.99,77.99,96.53,70.82,0,30.0,0,0.0,195,0,0,0
1,2025-08-11 18:15:48.000,evening,81.18,83.18,98.09,82.43,0,30.01,0,0.0,203,2,0,0
1,2025-08-11 17:04:02.000,evening,88.78,89.98,98.67,85.5,1,30.01,0,15.65,222,2,0,0
1,2025-08-11 16:56:26.000,afternoon,84.0,87.6,97.3,79.78,0,30.0,0,0.0,210,2,0,0
1,2025-08-11 16:55:31.000,afternoon,71.59,72.79,94.76,67.19,0,30.0,0,0.0,179,0,1,0
1,2025-08-11 16:54:50.000,afternoon,77.99,77.99,98.48,76.01,0,30.0,0,0.0,195,0,0,0
1,2025-08-11 16:53:34.000,afternoon,82.4,82.4,98.1,73.92,0,30.0,0,0.0,206,0,0,0
1,2025-08-11 14:01:20.000,afternoon,72.79,77.59,94.47,74.33,1,30.0,0,10.73,182,0,5,0
1,2025-08-11 13:21:53.000,afternoon,74.0,83.19,94.34,69.45,0,30.0,0,0.0,185,4,0,1
1,2025-08-11 13:03:37.000,afternoon,70.79,75.99,93.94,71.1,0,30.01,0,0.0,177,1,1,0
